model_type,validation_date,clf,parameters,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50,baseline,len_x_train
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 5, 'n_estimators': 10, 'learning_rate': 0.001, 'subsample': 0.1}",0.6377335321498706,0.44017094017094016,0.39872068230277186,0.4097103918228279,0.4075809199318569,0.3641396933560477,0.3465360590573538,0.32067115237202964,0.01757979177334016,0.03191670933606418,0.08209592080559823,0.1633384536610343,0.29185867895545314,0.41662399726915855,0.6426011264720942,0.03380928934843262,0.05910240202275602,0.13678373382624767,0.23321554770318023,0.32401705352913307,0.3783616213283732,0.42784090909090905,0.31412881680826643,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 5, 'n_estimators': 10, 'learning_rate': 0.001, 'subsample': 0.5}",0.6412970563267812,0.16666666666666666,0.08315565031982942,0.39608177172061326,0.3534923339011925,0.3577512776831346,0.3519307211811471,0.3202452942679499,0.006656426011264721,0.006656426011264721,0.07936507936507936,0.14166239972691586,0.2867383512544803,0.42310974569039084,0.6417477385219321,0.01280157557853274,0.012326169405815424,0.13223375515427271,0.2022663579870842,0.31833254381809567,0.38425172440517713,0.42727272727272725,0.31415261850541093,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 5, 'n_estimators': 10, 'learning_rate': 0.001, 'subsample': 1.0}",0.632598159757788,0.0641025641025641,0.031982942430703626,0.13287904599659284,0.33049403747870526,0.321763202725724,0.3414253265190233,0.3504812196576101,0.002560163850486431,0.002560163850486431,0.026625704045058884,0.13244580986516472,0.25789383853899983,0.4104796040279911,0.7023382829834443,0.004923682914820285,0.004740834386852086,0.044362292051756014,0.18910685999756308,0.2863098057792515,0.3727815236766643,0.46761363636363634,0.31418607656575226,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 5, 'n_estimators': 100, 'learning_rate': 0.001, 'subsample': 0.1}",0.6513651166305905,0.4700854700854701,0.417910447761194,0.4122657580919932,0.3862862010221465,0.3745741056218058,0.360022714366837,0.3296993441785197,0.01877453490356716,0.03345280764635603,0.08260795357569552,0.15480457415941287,0.30022188086704216,0.43283836832223926,0.6606929510155317,0.03610700804201543,0.06194690265486725,0.13763685482724303,0.2210308273425125,0.3333017527238276,0.39308687902038286,0.43988636363636363,0.312956295214214,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 5, 'n_estimators': 100, 'learning_rate': 0.001, 'subsample': 0.5}",0.6433229326919017,0.452991452991453,0.4200426439232409,0.39948892674616693,0.3756388415672913,0.35583475298126066,0.35477001703577515,0.3236521591005877,0.018091824543437447,0.03362348523638846,0.08004778972520908,0.15053763440860216,0.28520225294418844,0.4265232974910394,0.6485748421232292,0.03479402593139669,0.062262958280657386,0.13337124982226645,0.21493846716217865,0.3166271909047845,0.38735177865612647,0.4318181818181818,0.3128384668295643,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 5, 'n_estimators': 100, 'learning_rate': 0.001, 'subsample': 1.0}",0.6372936432010935,0.05982905982905983,0.029850746268656716,0.13969335604770017,0.3526405451448041,0.3554088586030664,0.33560477001703576,0.35056639127842604,0.0023894862604540022,0.0023894862604540022,0.027991124765318315,0.141321044546851,0.28486089776412354,0.40348182283666156,0.7025089605734767,0.0045954373871656,0.004424778761061946,0.0466372813877435,0.20177896917265747,0.3162482235907153,0.3664264124622181,0.4677272727272727,0.3129623809964843,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 50, 'n_estimators': 10, 'learning_rate': 0.001, 'subsample': 0.1}",0.6137884753811715,0.41452991452991456,0.4051172707889126,0.403747870528109,0.3769165247018739,0.3588160136286201,0.34497444633730834,0.3153905118814411,0.01655572623314559,0.03242874210616146,0.08090117767537122,0.15104966717869944,0.2875917392046424,0.4147465437788018,0.6320191158900836,0.03183981618250451,0.060050568900126416,0.13479311815725864,0.2156695503838187,0.3192799621032686,0.3766565914903511,0.4207954545454546,0.31385871115795677,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 50, 'n_estimators': 10, 'learning_rate': 0.001, 'subsample': 0.5}",0.61548605111635,0.43162393162393164,0.4200426439232409,0.3977853492333901,0.3807495741056218,0.36009369676320274,0.3429869392390687,0.3122391619112512,0.017238436593275303,0.03362348523638846,0.07970643454514423,0.1525857654889913,0.288615804744837,0.41235705751834784,0.6257040450588838,0.03315279829312326,0.062262958280657386,0.13280250248826958,0.2178628000487389,0.3204168640454761,0.37448655351468657,0.41659090909090907,0.3139587546350982,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 50, 'n_estimators': 10, 'learning_rate': 0.001, 'subsample': 1.0}",0.5683838009845066,0.11965811965811966,0.05970149253731343,0.02385008517887564,0.08432708688245315,0.3339011925042589,0.32268597387847814,0.41257133123243334,0.0047789725209080045,0.0047789725209080045,0.0047789725209080045,0.03379416282642089,0.26762246117084826,0.38795016214371053,0.8267622461170848,0.0091908747743312,0.008849557522123892,0.007962462675956206,0.04825149262824418,0.29711037423022263,0.35232116562039834,0.5504545454545454,0.3140461218661147,21423
GB,2012-07-01,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.001, loss='deviance', max_depth=50,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=100,
              presort='auto', random_state=None, subsample=0.1, verbose=0,
              warm_start=False)","{'max_depth': 50, 'n_estimators': 100, 'learning_rate': 0.001, 'subsample': 0.1}",0.6529332799375117,0.5641025641025641,0.5287846481876333,0.45826235093696766,0.4237649063032368,0.38798977853492334,0.36215218625780804,0.33131760497402263,0.022529441884280594,0.042328042328042326,0.09182454343744666,0.1698242020822666,0.31097456903908516,0.4353985321727257,0.6639358252261478,0.04332840965041851,0.07838179519595448,0.15299303284515853,0.2424759351772877,0.34523922311700617,0.39541191970859496,0.4420454545454545,0.3103256818607468,21423
